Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-10-27,0.0661771191,-0.032219763,-0.033475981,21,100
Market-Adjusted Model,10028,2022-10-27,-0.018404842,-0.106991467,-0.118057942,21,100
Market-Adjusted Model,10032,2022-10-27,0.2055926209,0.0910050313,0.1059395208,21,100
Market-Adjusted Model,10044,2022-10-27,0.1518771071,0.0469653324,0.052224007,21,100
Market-Adjusted Model,10065,2022-10-27,0.0962860778,-0.003961023,-0.003367022,21,100
Market-Adjusted Model,10066,2022-10-27,0.1028315626,0.0058529621,0.0031784625,21,100
Market-Adjusted Model,10104,2022-10-27,0.2099404166,0.0963361987,0.1102873165,21,100
Market-Adjusted Model,10107,2022-10-27,0.0763233492,-0.013519449,-0.023329751,21,100
Market-Adjusted Model,10113,2022-10-27,0.1008882605,-0.000542073,0.0012351604,21,100
Market-Adjusted Model,10138,2022-10-27,0.2710309157,0.1598117179,0.1713778156,21,100
Market-Adjusted Model,10145,2022-10-27,0.2492648456,0.1273346592,0.1496117455,21,100
Market-Adjusted Model,10158,2022-10-27,-0.004820097,-0.074412438,-0.104473197,21,100
Market-Adjusted Model,10200,2022-10-27,-0.052399523,-0.131466228,-0.152052623,21,100
Market-Adjusted Model,10207,2022-10-27,0.1450924543,0.0399822537,0.0454393542,21,100
Market-Adjusted Model,10220,2022-10-27,0.1997298071,0.0874167136,0.100076707,21,100
Market-Adjusted Model,10252,2022-10-27,0.1355128155,0.0306285469,0.0358597154,21,100
Market-Adjusted Model,10253,2022-10-27,-0.147034945,-0.243787043,-0.246688046,21,100
Market-Adjusted Model,10257,2022-10-27,0.0491673164,-0.04929109,-0.050485784,21,100
Market-Adjusted Model,10258,2022-10-27,0.2389380224,0.1354386443,0.1392849222,21,100
Market-Adjusted Model,10294,2022-10-27,0.2547188935,0.136319427,0.1550657934,21,100
Market-Adjusted Model,10308,2022-10-27,0.1212903412,0.0186563083,0.0216372411,21,100
Market-Adjusted Model,10318,2022-10-27,0.1429262399,0.0400449342,0.0432731398,21,100
Market-Adjusted Model,10333,2022-10-27,0.0573325793,-0.03970694,-0.042320521,21,100
Market-Adjusted Model,10355,2022-10-27,0.0787401595,-0.017854797,-0.020912941,21,100
Market-Adjusted Model,10382,2022-10-27,0.3222255419,0.1957080341,0.2225724418,21,100
Market-Adjusted Model,10397,2022-10-27,0.0224407317,-0.070725462,-0.077212368,21,100
Market-Adjusted Model,10421,2022-10-27,0.014722555,-0.077574562,-0.084930545,21,100
Market-Adjusted Model,10443,2022-10-27,0.0997235012,0.0024149244,0.000070401,21,100
Market-Adjusted Model,10463,2022-10-27,0.0708438411,-0.018319109,-0.028809259,21,100
Market-Adjusted Model,10501,2022-10-27,0.1243050864,0.030261365,0.0246519863,21,100
Market-Adjusted Model,10514,2022-10-27,-0.388489182,-0.547497549,-0.488142283,21,100
Market-Adjusted Model,10516,2022-10-27,0.095896773,-0.002515254,-0.003756327,21,100
Market-Adjusted Model,10517,2022-10-27,0.1811824828,0.0976088227,0.0815293827,21,100
Market-Adjusted Model,10530,2022-10-27,0.003764142,-0.094986385,-0.095888958,21,100
Market-Adjusted Model,10547,2022-10-27,-0.090899717,-0.169732035,-0.190552817,21,100
Market-Adjusted Model,10550,2022-10-27,-0.106673704,-0.20577791,-0.206326804,21,100
Market-Adjusted Model,10606,2022-10-27,0.2127134087,0.1012964645,0.1130603086,21,100
Market-Adjusted Model,10629,2022-10-27,0.1925926128,0.0819271307,0.0929395127,21,100
Market-Adjusted Model,10645,2022-10-27,0.0663900559,-0.029784306,-0.033263044,21,100
Market-Adjusted Model,10649,2022-10-27,-0.077816171,-0.16537829,-0.177469271,21,100
Market-Adjusted Model,10661,2022-10-27,-0.300961745,-0.4308806,-0.400614846,21,100
Market-Adjusted Model,10693,2022-10-27,0.2226261788,0.1081161843,0.1229730787,21,100
Market-Adjusted Model,10696,2022-10-27,0.0779082566,-0.016871148,-0.021744844,21,100
Market-Adjusted Model,10777,2022-10-27,0.0274975663,-0.066206097,-0.072155534,21,100
